SOURCE,TARGET,count
Naive T,Naive T,12
Naive T,CD8+ GZMK+ T,12
Naive T,Treg,32
Naive T,gd T,52
Naive T,CD8+ Exhausted T,33
Naive T,CD8+ GZMB+ T,42
Naive T,MAIT,29
Naive T,Plasma cells,20
Naive T,B cells,35
Naive T,CD56brightCD16- NK cells,56
Naive T,CD56dimCD16+ NK cells,43
Naive T,C2: C1q+IL18+MCs,38
CD8+ GZMK+ T,Naive T,12
CD8+ GZMK+ T,CD8+ GZMK+ T,4
CD8+ GZMK+ T,Treg,21
CD8+ GZMK+ T,gd T,25
CD8+ GZMK+ T,CD8+ Exhausted T,15
CD8+ GZMK+ T,CD8+ GZMB+ T,23
CD8+ GZMK+ T,MAIT,15
CD8+ GZMK+ T,Plasma cells,8
CD8+ GZMK+ T,B cells,22
CD8+ GZMK+ T,CD56brightCD16- NK cells,27
CD8+ GZMK+ T,CD56dimCD16+ NK cells,20
CD8+ GZMK+ T,C2: C1q+IL18+MCs,24
Treg,Naive T,32
Treg,CD8+ GZMK+ T,21
Treg,Treg,21
Treg,gd T,62
Treg,CD8+ Exhausted T,47
Treg,CD8+ GZMB+ T,56
Treg,MAIT,47
Treg,Plasma cells,24
Treg,B cells,41
Treg,CD56brightCD16- NK cells,64
Treg,CD56dimCD16+ NK cells,58
Treg,C2: C1q+IL18+MCs,45
gd T,Naive T,52
gd T,CD8+ GZMK+ T,25
gd T,Treg,62
gd T,gd T,36
gd T,CD8+ Exhausted T,63
gd T,CD8+ GZMB+ T,76
gd T,MAIT,66
gd T,Plasma cells,28
gd T,B cells,50
gd T,CD56brightCD16- NK cells,83
gd T,CD56dimCD16+ NK cells,67
gd T,C2: C1q+IL18+MCs,49
CD8+ Exhausted T,Naive T,33
CD8+ Exhausted T,CD8+ GZMK+ T,15
CD8+ Exhausted T,Treg,47
CD8+ Exhausted T,gd T,63
CD8+ Exhausted T,CD8+ Exhausted T,23
CD8+ Exhausted T,CD8+ GZMB+ T,56
CD8+ Exhausted T,MAIT,44
