gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cells	C2: C1q+IL18+MCs	CD56brightCD16- NK cells	CD56dimCD16+ NK cells	CD8+ Exhausted T	CD8+ GZMB+ T	CD8+ GZMK+ T	MAIT	Naive T	Plasma cells	Treg	gd T
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.003	0.04	0.003	0.004	0.004	0.004	0.005	0.002	0.005	0.003	0.005	0.004
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.003	0.04	0.003	0.004	0.004	0.004	0.005	0.002	0.005	0.003	0.005	0.004
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.0	0.001	0.0	0.001	0.0	0.001	0.0	0.002	0.0	0.0	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.044	0.015	0.037	0.03	0.031	0.046	0.019	0.026	0.033	0.017	0.036	0.038
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.044	0.015	0.037	0.03	0.031	0.046	0.019	0.026	0.033	0.017	0.036	0.038
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.044	0.015	0.037	0.03	0.031	0.046	0.019	0.026	0.033	0.017	0.036	0.038
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.012	0.877	0.008	0.012	0.009	0.014	0.018	0.011	0.016	0.011	0.012	0.029
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.012	0.337	0.0	0.002	0.001	0.0	0.003	0.002	0.002	0.025	0.001	0.003
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.012	0.051	0.013	0.007	0.022	0.008	0.011	0.014	0.024	0.008	0.037	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.002	0.017	0.013	0.007	0.009	0.006	0.01	0.008	0.022	0.003	0.008	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.009	0.01	0.013	0.007	0.015	0.008	0.003	0.014	0.019	0.0	0.012	0.013
